Job Title,Location,Salary
Desktop Support Engineer DL1 Support Chennai Location (Field ),"Chennai, Tamil Nadu","₹1,56,000 - ₹2,00,000 a year"
Customer Support Engineer,"Trichur, Kerala","₹15,000 - ₹18,000 a month"
Junior Software Engineer,"Kottayam, Kerala","From ₹15,000 a month"
Senior Software Engineer (NodeJS/JavaScript/GCP),"Pune, Maharashtra",Not specified
Full Stack Developer,"Mumbai, Maharashtra","₹15,000 - ₹20,000 a month"
Embedded Software Developer,"Ahmedabad, Gujarat",Not specified
Quality Analyst (Manual Tester),"Salt Lake, Kolkata, West Bengal","₹96,000 - ₹2,20,000 a year"
Software Engineer,"Katargam, Surat, Gujarat","₹8,000 - ₹15,000 a month"
MANAGER,"Madurai, Tamil Nadu",Not specified
Looking for Node Js Developer,"Bhilai, Chhattisgarh","₹20,000 - ₹35,000 a month"
Full Stack Developer,"Katargam, Surat, Gujarat","From ₹12,000 a month"
Flutter Developer,"Vellore, Tamil Nadu","From ₹20,000 a month"
Quality Analyst Intern,"Satellite, Ahmedabad, Gujarat","₹5,000 - ₹7,000 a month"
Python Full Stack Developer Intern,"Pune, Maharashtra","₹4,000 - ₹5,000 a month"
Junior PHP Developer,"Bhavnagar, Gujarat","₹9,000 - ₹40,000 a month"
FLUTTER DEVELOPER,"Ahmedabad, Gujarat",Not specified
Python Developer - Javascript/Linux,"Noida, Uttar Pradesh",Not specified
Angular Developer Intern,"Noida, Uttar Pradesh","₹5,000 a month"
iOS Developer - Fresher,"Sahibzada Ajit Singh Nagar, Ludhiana, Punjab",Not specified
React Native Developer,"Calicut, Kerala","₹8,000 - ₹25,000 a month"
PHP Developer,"Indore, Madhya Pradesh",Not specified
PHP Web Developer,"Noida, Uttar Pradesh","₹8,000 - ₹20,000 a month"
React Native Developers” (Mobile App Developer),"Palghar, Maharashtra",Not specified
IOS Developer,"Hyderabad, Telangana",Not specified
Sr. iOS Developer,"Surat, Gujarat",Not specified
Developer eLeaning,"Bhubaneswar, Orissa","₹7,000 - ₹10,000 a month"
ASP.NET Developer,"Pune, Maharashtra","₹9,891.50 - ₹47,389.84 a month"
Laravel Developer,"Vellore, Tamil Nadu",Not specified
PHP Developer Trainee,"Adajan, Surat, Gujarat","₹8,000 - ₹14,000 a month"
Backend Developer,"Egmore, Chennai, Tamil Nadu","From ₹19,500 a month"
Sr. Java Developer,"Bengaluru, Karnataka",Not specified
Dot Net Developer - Fresher,"Mumbai, Maharashtra",Not specified
ASP.NET Developer Freshers,"Ahmedabad, Gujarat",Not specified
Jr. Flutter Developer (Fresher),"Indore, Madhya Pradesh",Not specified
Web Developer,"Thane, Maharashtra","₹15,000 - ₹20,000 a month"
JavaScript Developer,"Vadodara, Gujarat",Not specified
React Native Developer,"Chennai, Tamil Nadu","₹10,000 - ₹50,000 a month"
Tech Lead / Senior / Junior Software Engineer – Java,"Mumbai, Maharashtra",Not specified
Jr. Node js developer,"Malad, Mumbai, Maharashtra","₹1,08,000 - ₹3,60,000 a year"
Full Stack Developer (Node / Mongo / React),"Chennai, Tamil Nadu",Not specified
Web Developer,"T Nagar, Chennai, Tamil Nadu",Not specified
.Net Developer (Software Engineer - .Net),"Ahmedabad, Gujarat",Not specified
.Net Developer (Software Engineer - .Net),"Ahmedabad, Gujarat",Not specified
Trainee GIS Application Developer,"Hyderabad, Telangana",Not specified
Looking for Node Js Developer,"Bhilai, Chhattisgarh","₹20,000 - ₹35,000 a month"
Software Engineer / Developer (Laravel and Angular framework),"Mumbai, Maharashtra",Not specified
Full Stack Developer,"Mumbai, Maharashtra","₹15,000 - ₹20,000 a month"
Web Developer,"Noida, Uttar Pradesh",Not specified
WordPress Developer,"Thergaon, Pune, Maharashtra",Not specified
Looking for Node Js Developer,"Bhilai, Chhattisgarh","₹20,000 - ₹35,000 a month"
Full Stack Developer,"Mumbai, Maharashtra","₹15,000 - ₹20,000 a month"
WordPress Developer,"Thergaon, Pune, Maharashtra",Not specified
Junior ASP.NET Developer,"Surat, Gujarat",Not specified
Junior PHP Developer,"Bengaluru, Karnataka",Not specified
Flutter Developer (Intern),"Noida, Uttar Pradesh","₹2,00,000 - ₹3,00,000 a year"
iOS Developer,"Surat, Gujarat","₹15,000 - ₹35,000 a month"
Software Engineer - PHP ( Full-time / Part-time Internship ),"Thane, Maharashtra",Not specified
Full Stack Developer (.NET),"Navi Mumbai, Maharashtra",Not specified
Full Stack Developer,"Katargam, Surat, Gujarat","From ₹12,000 a month"
ASP.NET and SQL Developer,"Mahape, Maharashtra",Not specified
Linux Developer,"Baner, Pune, Maharashtra","From ₹25,000 a month"
.NET Developer,"Chennai, Tamil Nadu",Not specified
Golang Developer,"Saket, Delhi, Delhi",Not specified
Angular Web Developer job opening,"Ahmedabad, Gujarat",Not specified
Flutter Developer,"Vellore, Tamil Nadu","From ₹20,000 a month"
React.js Developer,"Vadodara, Gujarat",Not specified
QA QA Engineer (Automation),"Rajkot, Gujarat",Not specified
Flutter Developer Jobs,"Mira Road, Mumbai, Maharashtra","₹1,50,000 - ₹4,50,000 a year"
Android Developer,"Bengaluru, Karnataka",Not specified
QA QA Engineer (Automation),"Rajkot, Gujarat",Not specified
DOT NET WEB DEVELOPER,"Bengaluru, Karnataka",Not specified
Junior IOS Developer,"Calicut, Kerala",Not specified
Quality Analyst Intern,"Satellite, Ahmedabad, Gujarat","₹5,000 - ₹7,000 a month"
Android Developer (JAVA/ XML/ SQLite/ Realm Java/ Retrofit),"Chennai, Tamil Nadu",Not specified
iPhone Developer,"Coimbatore, Tamil Nadu",Not specified
Jr. IOS Developer (Immediate Joinee),"Bhugaon, Pune, Maharashtra",Not specified
Angular Developer Intern,"Noida, Uttar Pradesh","₹5,000 a month"
Web/PHP CodeIgniter Developer,"Mira Road, Mumbai, Maharashtra","₹2,40,000 - ₹8,00,000 a year"
Business Analyst – Content Developer Kolkata,"Kolkata, West Bengal",Not specified
Angular Developer (Experienced),"Hyderabad, Telangana",Not specified
Ruby on Rails (ROR) Developer (Freshers welcome),"Gurugram, Haryana",Not specified
iOS Developer,"Rajkot, Gujarat",Not specified
PHP Developer,"Thergaon, Pune, Maharashtra",Not specified
Sr. iOS Developer,"Surat, Gujarat",Not specified
Jr. Java Developer,"Udaipur, Rajasthan",Not specified
Flutter Developer,"Jaipur, Rajasthan",Not specified
IOS Developer,"Surat, Gujarat",Not specified
PHP Developer,"Thane, Maharashtra",Not specified
PHP Developer,"Nagpur, Maharashtra",Not specified
Backend Developer,"Egmore, Chennai, Tamil Nadu","From ₹19,500 a month"
Front End Developer,"Vadodara, Gujarat",Not specified
Front End Developer,"Vadodara, Gujarat",Not specified
Intern PowerApps Developer,"Noida, Uttar Pradesh","₹15,000 a month"
Sr. Java Developer,"Bengaluru, Karnataka",Not specified
Dot Net Developer - Fresher,"Mumbai, Maharashtra",Not specified
PHP Developer Fresher / Intern,"Bapatla, Andhra Pradesh","₹1,80,000 - ₹3,00,000 a year"
MERN Stack Developer,"Chandigarh, Chandigarh","₹30,000 - ₹45,000 a month"
Junior QA Engineer,"Bengaluru, Karnataka",Not specified
Full Stack Developer Intern,"Mysuru, Karnataka","₹5,000 - ₹12,000 a month"
Embedded Systems Developer (1,"Bengaluru, Karnataka",Not specified
ASP.NET Developer Freshers,"Ahmedabad, Gujarat",Not specified
Jr. Flutter Developer (Fresher),"Indore, Madhya Pradesh",Not specified
React.js Developer,"Anand, Gujarat",Not specified
React Developer (Freshers Welcome),"Gurugram, Haryana",Not specified
UI/UX DEVELOPER,"Bhubaneswar, Orissa",Not specified
Web Developer,"Thane, Maharashtra","₹15,000 - ₹20,000 a month"
JavaScript Developer,"Vadodara, Gujarat",Not specified
React Native Developer,"Chennai, Tamil Nadu","₹10,000 - ₹50,000 a month"
React Native Front-end Developer Trainee,Remote,Not specified
Backend Developer,"Egmore, Chennai, Tamil Nadu","From ₹19,500 a month"
Web Developer (Intern),"Navi Mumbai, Maharashtra",Not specified
Java Developer,"Coimbatore, Tamil Nadu",Not specified
Web Development Intern,"Bengaluru, Karnataka",Not specified
Associate Developer - Scala,Remote,"₹12,000 - ₹30,000 a month"
JAVA DEVELOPER,"Pune, Maharashtra",Not specified
Java Developer,"Tiruchchirappalli, Tamil Nadu",Not specified
Application Developer (Fresher),"Hyderabad, Telangana",Not specified
Junior Software Developer,"Indore, Madhya Pradesh","₹3,08,000 a year"
Web Developer - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified
Trainee Software Developers ( Freshers ),"Hyderabad, Telangana",Not specified
Software Developers Java,"Chennai, Tamil Nadu",Not specified
Fresher – Software Developer - Dot Net,"Ahmedabad, Gujarat","₹15,000 - ₹20,000 a month"
Software Developer,"Mohali, Punjab","₹2,00,000 - ₹2,40,000 a year"
Junior Developer Intern,"Goa, Goa","₹2,000 a month"
Software Developers Trainee (.Net),Kerala,Not specified
Full stack Developer,"Saravanampatti, Coimbatore, Tamil Nadu",Not specified
Junior Web Developer (Trainee),"Bengaluru, Karnataka",Not specified
SOFTWARE DEVELOPMENT AND R&D,"Bengaluru, Karnataka",Not specified
Web / UI Developer (HTML5 / CSS3 / JavaScript),"Chennai, Tamil Nadu",Not specified
Backend Developer,"Egmore, Chennai, Tamil Nadu","From ₹19,500 a month"
Web Developer,"Lucknow, Uttar Pradesh",Not specified
Front End Developer,"Vadodara, Gujarat",Not specified
Salesforce Developer,"Indore, Madhya Pradesh",Not specified
Embedded Software Developer,"Vadodara, Gujarat",Not specified
Web Developer,"Lucknow, Uttar Pradesh",Not specified
Front End Developer,"Vadodara, Gujarat",Not specified
Intern PowerApps Developer,"Noida, Uttar Pradesh","₹15,000 a month"
Graphic Design/UI-UX Intern,Remote,"₹5,000 - ₹10,000 a month"
Mobile App Team: Flutter Developer,"Saravanampatti, Coimbatore, Tamil Nadu",Not specified
Fresher .NET/C# Developer,"Indore, Madhya Pradesh",Not specified
Sr. Java Developer,"Bengaluru, Karnataka",Not specified
Dot Net Developer - Fresher,"Mumbai, Maharashtra",Not specified
Software Developers,"Ahmedabad, Gujarat",Not specified
Software/Web Developer,"Jodhpur, Rajasthan",Not specified
PHP Developer Fresher / Intern,"Bapatla, Andhra Pradesh","₹1,80,000 - ₹3,00,000 a year"
Java Developer,"Kolkata, West Bengal",Not specified
Java Developer,"Bengaluru, Karnataka",Not specified
Full Stack Developer,"Airoli, Navi Mumbai, Maharashtra","₹10,37,031.81 - ₹17,02,419.63 a year"
MERN Stack Developer,"Chandigarh, Chandigarh","₹30,000 - ₹45,000 a month"
Design Engineer (CATIA Software) Female candidate only,"Pune, Maharashtra","₹12,000 - ₹15,000 a month"
Technical Support Engineer Trainee,"Chennai, Tamil Nadu","₹12,000 - ₹15,000 a month"
Senior Platform Engineer,"Thiruvananthapuram, Kerala",Not specified
Embedded Systems Engineer,"Aurangabad, Maharashtra",Not specified
Computer Hardware & Networking Engineer,"Andheri, Mumbai, Maharashtra","Up to ₹20,000 a month"
Field Engineer,"Ahmedabad, Gujarat","₹13,000 - ₹20,000 a month"
Residential Computer Engineer Fresher,"Borivali, Mumbai, Maharashtra","₹8,000 - ₹12,000 a month"
Field Support Engineer,"Indore, Madhya Pradesh","₹11,000 - ₹16,000 a month"
Computer Hardware & Networking Engineer,"Baramula, Jammu and Kashmir","₹10,000 - ₹18,000 a month"
Software Engineer,"Lucknow, Uttar Pradesh",Not specified
Software Support Engineer,"Koramangala, Bengaluru, Karnataka","₹20,000 - ₹30,000 a month"
Associate Software Engineer,"Vadodara, Gujarat","₹2,40,000 - ₹5,50,000 a year"
Fresher software engineer in cyberpark,"Calicut, Kerala","₹9,000 - ₹13,000 a month"
Fresher software engineer intern,"Cannanore, Kerala","₹9,000 - ₹13,000 a month"
Associate Engineer,"Somajiguda, Hyderabad, Telangana","₹45,000 - ₹60,000 a month"
Software Test Engineer,"Chennai, Tamil Nadu",Not specified
Software Engineer,"Calicut, Kerala",Not specified
Junior Software Engineer (Asp.net),"Kochi, Kerala","₹10,000 - ₹12,000 a month"
JUNIOR SOFTWARE TECHNICAL SUPPORT ENGINEER,"Kochi, Kerala","₹7,000 - ₹10,000 a month"
Software Engineer Internship Program,"Coimbatore, Tamil Nadu","From ₹10,000 a month"
Backend Developer,"Egmore, Chennai, Tamil Nadu","From ₹19,500 a month"
Python Developer,"Trichur, Kerala",Not specified
MERN Stack Fresher,"Thane, Maharashtra","₹12,000 - ₹25,000 a month"
Web Developer,"Lucknow, Uttar Pradesh",Not specified
Full stack Developer Fresher,"Saravanampatti, Coimbatore, Tamil Nadu","₹5,000 - ₹10,000 a month"
Front End Developer,"Vadodara, Gujarat",Not specified
Salesforce Developer,"Indore, Madhya Pradesh",Not specified
Embedded Software Developer,"Vadodara, Gujarat",Not specified
Full Stack Developer,"Ahmedabad, Gujarat","₹10,000 - ₹40,000 a month"
IQ012 Full-stack Web Platform Developer,"Bengaluru, Karnataka",Not specified
Python Developer Intern,"Calicut, Kerala","₹3,500 - ₹12,000 a month"
Web Developer,"Lucknow, Uttar Pradesh",Not specified
Backend Developer,"Mumbai, Maharashtra",Not specified
Next Js Software Developer,"Faridabad, Haryana","From ₹15,000 a month"
OutSystems Developer,"Satna, Madhya Pradesh","₹2,00,000 - ₹5,00,000 a year"
Front-End Web Developer,"Surat, Gujarat",Not specified
Data Base Developer,Delhi,Not specified
Front End Developer,"Vadodara, Gujarat",Not specified
Intern PowerApps Developer,"Noida, Uttar Pradesh","₹15,000 a month"
Angular Developer Intern/Fresher,"Noida, Uttar Pradesh",Not specified
Jr. IOS Developer (Immediate Joinee),"Bhugaon, Pune, Maharashtra",Not specified
WordPress Developer,"Aurangabad, Maharashtra",Not specified
Electronics/Embedded Internship,"Mumbai, Maharashtra",Not specified
ASP .Net Web Developer,"Ludhiana, Punjab",Not specified
React Native Developer,"Surat, Gujarat",Not specified
Linux Server Admin,"Rajkot, Gujarat",Not specified
Effulgence Manpower Solution - Parvati Darshan,"Parvati, Pune, Maharashtra",Not specified
iOS Developer,"Mohali, Punjab","₹12,000 - ₹35,000 a month"
Sr. Android Developer (Immediate Joiner),"Bhugaon, Pune, Maharashtra",Not specified
Support Executive,"Mumbai, Maharashtra",Not specified
React Native Developer,"Mohali, Punjab","₹1,50,000 - ₹1,80,000 a year"
Smart PHP Developer,"Surat, Gujarat",Not specified
Laravel Developer,"Vadodara, Gujarat",Not specified
IOS Developer,"Indore, Madhya Pradesh",Not specified
Associate Application Developer – Warehouse Automation,"Chennai, Tamil Nadu",Not specified
PHP Intern,"Zirakpur, Punjab",Not specified
PHP Developer (6 months to 2 years),"Mohali, Punjab",Not specified
PHP Developer,"Rajkot, Gujarat","₹12,000 - ₹30,000 a month"
React Native Developer,"Kolkata, West Bengal",Not specified
IOS/Android Developer,"Thiruvananthapuram, Kerala",Not specified
Backend Developer,"Egmore, Chennai, Tamil Nadu","From ₹19,500 a month"
Front End Developer,"Vadodara, Gujarat",Not specified
Sr. Java Developer,"Bengaluru, Karnataka",Not specified
Dot Net Developer - Fresher,"Mumbai, Maharashtra",Not specified
Junior QA Engineer,"Bengaluru, Karnataka",Not specified
Full Stack Developer Intern,"Mysuru, Karnataka","₹5,000 - ₹12,000 a month"
Embedded Systems Developer (1,"Bengaluru, Karnataka",Not specified
ASP.NET Developer Freshers,"Ahmedabad, Gujarat",Not specified
Jr. Flutter Developer (Fresher),"Indore, Madhya Pradesh",Not specified
React.js Developer,"Anand, Gujarat",Not specified
Web Developer,"Thane, Maharashtra","₹15,000 - ₹20,000 a month"
JavaScript Developer,"Vadodara, Gujarat",Not specified
React Native Developer,"Chennai, Tamil Nadu","₹10,000 - ₹50,000 a month"
Tech Lead / Senior / Junior Software Engineer – Java,"Mumbai, Maharashtra",Not specified
Jr. Node js developer,"Malad, Mumbai, Maharashtra","₹1,08,000 - ₹3,60,000 a year"
Low Latency Software Developer ( C++ ),"Gandhinagar, Gujarat",Not specified
Full Stack Developer (Node / Mongo / React),"Chennai, Tamil Nadu",Not specified
Web Developer,"T Nagar, Chennai, Tamil Nadu",Not specified
.Net Developer (Software Engineer - .Net),"Ahmedabad, Gujarat",Not specified
.Net Developer (Software Engineer - .Net),"Ahmedabad, Gujarat",Not specified
Looking for Node Js Developer,"Bhilai, Chhattisgarh","₹20,000 - ₹35,000 a month"
Full Stack Developer,"Mumbai, Maharashtra","₹15,000 - ₹20,000 a month"
Junior ASP.NET Developer,"Surat, Gujarat",Not specified
iOS Developer,"Surat, Gujarat","₹15,000 - ₹35,000 a month"
Full Stack Developer (.NET),"Navi Mumbai, Maharashtra",Not specified
Full Stack Developer,"Katargam, Surat, Gujarat","From ₹12,000 a month"
ASP.NET and SQL Developer,"Mahape, Maharashtra",Not specified
.NET Developer,"Chennai, Tamil Nadu",Not specified
Golang Developer,"Saket, Delhi, Delhi",Not specified
Flutter Developer,"Vellore, Tamil Nadu","From ₹20,000 a month"
QA QA Engineer (Automation),"Rajkot, Gujarat",Not specified
Flutter Developer Jobs,"Mira Road, Mumbai, Maharashtra","₹1,50,000 - ₹4,50,000 a year"
Codeigniter Developer,"Surat, Gujarat",Not specified
DOT NET WEB DEVELOPER,"Bengaluru, Karnataka",Not specified
Python/ PHP Developer,"Thiruvananthapuram, Kerala",Not specified
Junior IOS Developer,"Calicut, Kerala",Not specified
"Java,.net,Python,Android,Web Designing,Software Testing","Pune, Maharashtra","₹49,000 a year"
Flutter Developer,"Surat, Gujarat",Not specified
Junior Embedded Developer,"Bengaluru, Karnataka",Not specified
Flutter Developer,"Surat, Gujarat",Not specified
Backend Developer,"Egmore, Chennai, Tamil Nadu","From ₹19,500 a month"
Software Developer Intern,"Noida, Uttar Pradesh",Not specified
MERN Stack Fresher,"Thane, Maharashtra","₹12,000 - ₹25,000 a month"
Full stack Developer Fresher,"Saravanampatti, Coimbatore, Tamil Nadu","₹5,000 - ₹10,000 a month"
Full Stack Developer,"Ahmedabad, Gujarat","₹10,000 - ₹40,000 a month"
Python Developer Intern,"Calicut, Kerala","₹3,500 - ₹12,000 a month"
Next Js Software Developer,"Faridabad, Haryana","From ₹15,000 a month"
Trainee Technical Support cum Software Tester,"Navi Mumbai, Maharashtra",Not specified
Full Stack Developer,"Noida, Uttar Pradesh","₹25,805 - ₹1,05,027 a month"
OutSystems Developer,"Satna, Madhya Pradesh","₹2,00,000 - ₹5,00,000 a year"
Front-End Web Developer,"Surat, Gujarat",Not specified
DevOps Intern,"Chennai, Tamil Nadu","₹1,00,000 - ₹2,00,000 a year"
Intern PowerApps Developer,"Noida, Uttar Pradesh","₹15,000 a month"
Angular Developer Intern/Fresher,"Noida, Uttar Pradesh",Not specified
Mobile App Team: Flutter Developer,"Saravanampatti, Coimbatore, Tamil Nadu",Not specified
IoT Backend Software Developer Intern,"Nikol, Ahmedabad, Gujarat",Not specified
Software/Web Developer,"Jodhpur, Rajasthan",Not specified
Full Stack Developer Intern,"Chennai, Tamil Nadu","₹60,000 - ₹1,20,000 a year"
DotNet Developer - Fresher,"Hyderabad, Telangana",Not specified
Software Test Engineer,"Chennai, Tamil Nadu","₹12,000 - ₹18,000 a month"
MERN Stack Fresher,"Thane, Maharashtra","₹12,000 - ₹25,000 a month"
Full-stack Developer (MERN),"Surat, Gujarat","₹3,00,000 - ₹6,00,000 a year"
MERN Stack Developer,Remote,Not specified
MERN Stack Intern,Remote,"₹3,00,000 - ₹5,00,000 a year"
MERN Stack Developer Intern,"Pune, Maharashtra","₹12,577.90 - ₹15,000.00 a month"
MERN Stack Developer,"Chandigarh, Chandigarh","₹30,000 - ₹45,000 a month"
MERN Stack Developer,"Tiruchchirappalli, Tamil Nadu","₹20,000 - ₹30,000 a month"
Full Stack Developer Intern,"Nikol, Ahmedabad, Gujarat",Not specified
MERN Stack Developer,"Vashi, Navi Mumbai, Maharashtra","₹2,00,000 - ₹3,00,000 a year"
Full Stack Developer,"Panchkula, Haryana","₹16,608.23 - ₹45,680.29 a month"
Full Stack Developer (1 year Exp),"Surat, Gujarat","₹2,40,000 - ₹2,50,000 a year"
MERN Stack Developer,"Mahalaxmi Nagar, Indore, Madhya Pradesh","From ₹15,000 a month"
MERN Stack Developer,"Narikeldanga, West Bengal","₹6,000 - ₹25,000 a month"
Full Stack Trainer - MERN/Python,"Bengaluru, Karnataka","₹3,00,000 - ₹5,00,000 a year"
ReactJS Developer (Intern),"Dwarka, Nashik, Maharashtra","₹5,000 - ₹10,000 a month"
